Mã Sản Phẩm,Tên sản phẩm,Bán chạy,Danh mục,Thể Loại,Đơn vị,Kích thước,Chieu_Dai_Max (mm),Chieu_Rong_Max (mm),Chieu_Cao_Max (mm),Kich_Thuoc_Hop_Tho (mm),Khối lượng (m3),Trọng lượng (tấn),Đá xanh đen,Đá xanh rêu,Đá xám BĐ,Đá GRN đen Ấn Độ,Ghi chú,Đá xanh Bình Định,Đá trắng Yên Bái,Có ảnh
LD03,Long đình,Bán chạy,Trường Tồn,Long đình,bộ,- Chiều dài tổng: 5530mm - Hộp thờ: 770mm - Chiều cao tổng: 3045mm,5530,,3045,770,2.96,8.880,139294000,182824000,202032000,418954000,Long Đình 2 mái 4 cánh,220825000,156706000,TRUE
LD04,Long đình,Bán chạy,Trường Tồn,Long đình,bộ,- Chiều dài tổng: 5530mm - Hộp thờ: 770mm - Chiều cao tổng: 3260mm,5530,,3260,770,3.368,10.104,158494000,208024000,229879000,476702000,Long Đình 3 mái 4 cánh,251263000,178306000,TRUE
LD05,Long đình,,An Tâm,Long đình,bộ,- Chiều dài tổng: 2925mm - Hộp thờ: 790mm - Chiều cao tổng: 2840mm,2925,,2840,790,1.6,4.800,68267000,89600000,101176000,216471000,Long Đình 2 mái 2 cánh,110588000,76800000,TRUE
LD06,Long đình,Bán chạy,Trường Tồn,Long đình,bộ,- Chiều dài tổng: 5530mm - Hộp thờ: 870mm - Chiều cao tổng: 3165mm,5530,,3165,870,3.315,9.945,156000000,204750000,226262000,469200000,"Long Đình 2 mái 4 cánh
Cột góc to",247310000,175500000,TRUE
LD07,Long đình,Bán chạy,Trường Tồn,Long đình,bộ,- Chiều dài tổng: 3200mm - Hộp thờ: 770mm - Chiều cao tổng: 3050mm,3200,,3050,770,2.501,7.503,117694000,154474000,170703000,353988000,Long Đình 2 mái 2 cành,186583000,132406000,TRUE
LD10,Long đình,,Trường Tồn,Long đình,bộ,- Chiều dài tổng: 4270mm - Hộp thờ: 870mm - Chiều cao tổng: 3380mm,4270,,3380,870,3.319,9.957,156188000,204997000,226535000,469766000,Long Đình 3 mái 4 cành,247608000,175712000,TRUE
LD12,Long đình đơn,Bán chạy,Trường Tồn,Long đình,bộ,- Chiều dài tổng: 1950mm - Hộp thờ: 770mm - Chiều cao tổng: 2750mm,1950,,2750,770,1.654,4.962,77835000,102159000,112892000,234105000,Long Đình 2 mái 2 cành,123394000,87565000,TRUE
LD13,Long đình,,Trường Tồn,Long đình,bộ,- Chiều dài tổng: 5000mm - Hộp thờ: 865mm - Chiều cao tổng: 3200mm,5000,,3200,865,3.25,9.750,152941000,200735000,221825000,460000000,Long Đình 2 mái 4 cánh,242460000,172059000,TRUE
LD14,Long đình,Bán chạy,Trường Tồn,Long đình,bộ,- Chiều dài tổng: 7000mm - Hộp thờ: 770mm - Chiều cao tổng: 3400mm,7000,,3400,770,3.316,9.948,156047000,204812000,226330000,469342000,Long Đình 3 mái 6 cành,247384000,175553000,TRUE
LD16,Long đình,,An Tâm,Long đình,bộ,- Chiều dài tổng: 5200mm - Hộp thờ: 730mm - Chiều cao tổng: 2960mm,5200,,2960,730,2.34,7.020,99840000,131040000,147971000,316588000,Long Đình 2 mái 4 cánh,161735000,112320000,TRUE
